Symbol;Name;Description
A191RL1Q225SBEA;GDP;Real Gross Domestic Product
UNRATE;Unemployment;Civilian Unemployment Rate
CPIAUCSL;CPI adj;Consumer Price Index for All Urban Consumers: All Items Seasonally Adjusted
INDPRO;IP;Industrial Production Index
GFDEGDQ188S;Federal Debt;Federal Debt Total Public Debt as Percent of Gross Domestic Product
PCEC;PCEC;Personal Consumption Expenditures
FEDFUNDS;Interest Rate;Effective Federal Funds Rate
DPCREDIT;Credit Rate;Primary Credit Rate
DGS10;10-Yr. Treas. Rate;10-Year Treasury Constant Maturity Rate
PAYEMS;Payroll Employment;All Employees: Total Nonfarm Payrolls